"","USD.AUD"
"2014-07-31",1.0684
"2014-08-01",1.0744
"2014-08-02",1.0755
"2014-08-03",1.0738
"2014-08-04",1.0738
"2014-08-05",1.0729
"2014-08-06",1.0729
"2014-08-07",1.0732
"2014-08-08",1.0765
"2014-08-09",1.0793
"2014-08-10",1.0779
"2014-08-11",1.0779
"2014-08-12",1.0787
"2014-08-13",1.0793
"2014-08-14",1.0763
"2014-08-15",1.0743
"2014-08-16",1.073
"2014-08-17",1.0728
"2014-08-18",1.0728
"2014-08-19",1.0729
"2014-08-20",1.0723
"2014-08-21",1.0756
"2014-08-22",1.0774
"2014-08-23",1.0737
"2014-08-24",1.0735
"2014-08-25",1.0735
"2014-08-26",1.0746
"2014-08-27",1.0749
"2014-08-28",1.072
"2014-08-29",1.0692
"2014-08-30",1.0698
"2014-08-31",1.0707
